month,attention,,
2004m1,67,,
2004m2,132,,
2004m3,75,,
2004m4,47,,
2004m5,24,,
2004m6,0,,
2004m7,0,,
2004m8,17,,
2004m9,0,,
2004m10,61,,
2004m11,44,,
2004m12,0,,
2005m1,46,,
2005m2,114,,
2005m3,60,,
2005m4,31,,
2005m5,74,,
2005m6,50,,
2005m7,49,,
2005m8,14,,
2005m9,75,,
2005m10,51,,
2005m11,24,,
2005m12,15,,
2006m1,15,,
2006m2,10,,
2006m3,33,,
2006m4,12,,
2006m5,35,,
2006m6,12,,
2006m7,13,,
2006m8,41,,
2006m9,26,,
2006m10,27,,
2006m11,16,,
2006m12,34,,
2007m1,31,,
2007m2,29,,
2007m3,26,,
2007m4,68,,
2007m5,36,,
2007m6,43,,
2007m7,0,,
2007m8,11,,
2007m9,37,,
2007m10,53,,
2007m11,54,,
2007m12,10,,
2008m1,28,,
2008m2,64,,
2008m3,32,,
2008m4,42,,
2008m5,14,,
2008m6,16,,
2008m7,21,,
2008m8,7,,
2008m9,38,,
2008m10,52,,
2008m11,51,,
2008m12,42,,
2009m1,25,,
2009m2,36,,
2009m3,32,,
2009m4,38,,
2009m5,48,,
2009m6,19,,
2009m7,11,,
2009m8,27,,
2009m9,71,,
2009m10,56,,
2009m11,27,,
2009m12,54,,
2010m1,45,,
2010m2,48,,
2010m3,37,,
2010m4,73,,
2010m5,77,,
2010m6,31,,
2010m7,8,,
2010m8,13,,
2010m9,44,,
2010m10,35,,
2010m11,64,,
2010m12,48,,
2011m1,35,,
2011m2,38,,
2011m3,31,,
2011m4,54,,
2011m5,53,,
2011m6,21,,
2011m7,10,,
2011m8,28,,
2011m9,47,,
2011m10,34,,
2011m11,56,,
2011m12,62,,
2012m1,35,,
2012m2,50,,
2012m3,38,,
2012m4,57,,
2012m5,53,,
2012m6,29,,
2012m7,32,,
2012m8,13,,
2012m9,44,,
2012m10,54,,
2012m11,50,,
2012m12,48,,
2013m1,40,,
2013m2,52,,
2013m3,38,,
2013m4,58,,
2013m5,65,,
2013m6,20,,
2013m7,13,,
2013m8,21,,
2013m9,49,,
2013m10,60,,
2013m11,69,,
2013m12,47,,
2014m1,45,,
2014m2,62,,
2014m3,57,,
2014m4,69,,
2014m5,71,,
2014m6,39,,
2014m7,11,,
2014m8,19,,
2014m9,59,,
2014m10,69,,
2014m11,70,,
2014m12,68,,
2015m1,42,,
2015m2,70,,
2015m3,41,,
2015m4,80,,
2015m5,69,,
